date	sentiment
2016-August	-1000
2016-April	-1000
2016-November	-1000
2016-September	-1000
2016-January	0.0606713
2016-October	-1000
2016-July	-1000
2016-June	-1000
2016-February	-0.045635
2016-December	-1000
2016-May	-1000
2016-March	-1000
2010-August	-1000
2010-April	-0.261244
2010-November	-1000
2010-September	0.829367
2010-January	-1000
2010-October	-1000
2010-July	-1000
2010-June	-0.168425
2010-February	-0.0961946
2010-December	-0.524445
2010-May	0.364916
2010-March	0
2011-August	0.402721
2011-April	-0.163124
2011-November	-1000
2011-September	0.0588405
2011-January	-1000
2011-October	0.45612
2011-July	0
2011-June	0.884945
2011-February	0.648585
2011-December	0.318108
2011-May	0.058734
2011-March	0.120064
2012-August	0.13435
2012-April	0.429039
2012-November	-0.204026
2012-September	-0.0434779
2012-January	0.0802654
2012-October	0.0637519
2012-July	-0.0145488
2012-June	-0.133501
2012-February	0.646694
2012-December	-0.167539
2012-May	0.126379
2012-March	-0.382913
2013-August	0.425993
2013-April	-0.143347
2013-November	-0.0332081
2013-September	0.103672
2013-January	-0.129193
2013-October	0.0759369
2013-July	-0.0300789
2013-June	-0.0720936
2013-February	0.0553398
2013-December	-0.161304
2013-May	0.269905
2013-March	0.0507069
2014-August	0.133055
2014-April	0.119427
2014-November	-0.0145548
2014-September	-0.0151055
2014-January	0.147439
2014-October	0.00680624
2014-July	-0.0114895
2014-June	0.0413318
2014-February	-0.0330116
2014-December	-0.085596
2014-May	0.120424
2014-March	0.0563267
2015-August	0.0986581
2015-April	-0.0320546
2015-November	-0.0472438
2015-September	-0.115781
2015-January	0.0123057
2015-October	-0.073531
2015-July	-0.0366132
2015-June	-0.00866562
2015-February	0.00179913
2015-December	-0.0726912
2015-May	0.0705477
2015-March	0.018675
